Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801509,SHOPPING ESTACAO CUIABA,A20270122,TENIS EFFUSION F T&F,AZUL NOTURNO,36,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270123,TENIS EFFUSION M T&F,PRETO,38,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270123,TENIS EFFUSION M T&F,PRETO,39,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270123,TENIS EFFUSION M T&F,PRETO,40,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270123,TENIS EFFUSION M T&F,PRETO,41,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270123,TENIS EFFUSION M T&F,PRETO,42,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20270123,TENIS EFFUSION M T&F,PRETO,44,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20300027,VISEIRA HOLOGRAFICA,PRETO,UNICO,2,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20360004,TIC TAC METAL,PRETO,UNICO,4,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20360004,TIC TAC METAL,TARTARUGA,UNICO,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20360012,PIRANHA GRANDE,TARTARUGA,UNICO,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20360012,PIRANHA GRANDE,ROSE/ PRETO,UNICO,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20360012,PIRANHA GRANDE,OFF WHITE/ PRETO,UNICO,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20430002,MEIA LUVA NEOPRENE,PRETO,M,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20430002,MEIA LUVA NEOPRENE,PRETO,G,8,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20440069,POCHETE FIT,PRETO,UNICO,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20500001,CUECA SLIP PIMA T&F,BRANCO,M,1,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20570022,CHINELO BEACH U,MADEIRA/PRETO,37/38,2,A20,ACESSORIOS
801509,SHOPPING ESTACAO CUIABA,A20620016,RAQUETE FRESCOBOL,MADEIRA,UNICO,3,A20,CONVENIENCIA
801509,SHOPPING ESTACAO CUIABA,A20790004,TOUCA NATACAO RESINADA,PRETO,UNICO,1,A20,CONVENIENCIA
